iter	RMSE
0	0.2142861627
1	0.1943625407
2	0.1760075913
3	0.1597584594
4	0.1447696358
5	0.1312357219
6	0.119117792
7	0.1083365578
8	0.0984776427
9	0.08965320214
10	0.08144258284
11	0.07423758853
12	0.06782539768
13	0.0617606603
14	0.05646325835
15	0.05169042207
16	0.04728866025
17	0.04335087387
18	0.03990020088
19	0.03670803626
20	0.03402771707
21	0.03157893382
22	0.02923246
23	0.02726341697
24	0.02549993878
25	0.02398401114
26	0.02268095946
27	0.02149458042
28	0.02046266701
29	0.01955990601
30	0.01881809833
31	0.01819802388
32	0.01761182496
33	0.0170052938
34	0.01659132542
35	0.01619101124
36	0.01591218774
37	0.01563244346
38	0.01534937195
39	0.01513006936
40	0.01489088997
41	0.0146943586
42	0.0145198832
43	0.01438990539
44	0.01426222482
45	0.01415337524
46	0.01400672814
47	0.01388337461
48	0.01374510501
49	0.01364854086
50	0.01357944509
51	0.01346813953
52	0.01337835947
53	0.01328121494
54	0.01317757337
55	0.0130935315
56	0.01302851032
57	0.01296876828
58	0.01288602584
59	0.01281561886
60	0.01275276699
61	0.01269760671
62	0.01263494416
63	0.01259111873
64	0.01256127163
65	0.01251890711
66	0.01241021331
67	0.01237216011
68	0.01230510093
69	0.01225823217
70	0.01223782475
71	0.01216729156
72	0.01209466885
73	0.01205350092
74	0.0120346954
75	0.01200700808
76	0.01197396531
77	0.01191019556
78	0.01184089546
79	0.01183130243
80	0.01175969888
81	0.0117327073
82	0.01166440588
83	0.01162370801
84	0.0115906723
85	0.01154722493
86	0.01147092438
87	0.01145138966
88	0.01141578386
89	0.01136141837
90	0.01129559471
91	0.01128346129
92	0.01124942396
93	0.01115687177
94	0.01110674129
95	0.01110051518
96	0.01104522695
97	0.01099947143
98	0.01095166655
99	0.01090521656
